Driver,fp2_avg_lap,fp2_best_lap,fp2_total_laps,FastestQualiLap,QualiPosition,grand_prix
ALB,109.19330769230768,103.261,13,101.201,5,Belgium
ALO,114.45675,103.12,12,102.385,19,Belgium
ANT,109.96440000000001,102.979,15,102.139,18,Belgium
BEA,107.9479,105.077,10,101.617,12,Belgium
BOR,107.935,103.262,12,101.336,10,Belgium
COL,108.33866666666667,104.847,9,102.022,17,Belgium
GAS,113.439875,103.929,8,101.633,13,Belgium
HAD,110.11366666666667,103.122,9,101.281,8,Belgium
HAM,113.84123076923076,103.085,13,101.664,14,Belgium
HUL,108.68233333333333,103.47,9,101.707,16,Belgium
LAW,113.28354545454545,103.478,11,101.297,9,Belgium
LEC,115.94633333333333,102.928,12,100.9,3,Belgium
NOR,109.19041666666668,102.526,12,100.562,1,Belgium
OCO,106.45809090909091,103.57,11,101.525,11,Belgium
PIA,106.03958333333333,102.022,12,100.626,2,Belgium
RUS,110.38192857142857,102.598,14,101.254,7,Belgium
SAI,110.60466666666666,103.217,6,101.691,15,Belgium
STR,116.36985714285713,103.112,7,102.502,20,Belgium
TSU,109.27281818181818,104.492,11,101.245,6,Belgium
VER,106.55319999999999,102.426,10,100.903,4,Belgium
