Driver,fp2_avg_lap,fp2_best_lap,fp2_total_laps,FastestQualiLap,QualiPosition,RacePosition,DNF,grand_prix
ALB,92.96676470588235,77.302,17,75.737,6,5,False,Australia
ALO,91.15004761904763,77.33,21,76.288,12,21,True,Australia
ANT,85.24622222222223,77.634,18,76.525,16,4,False,Australia
BOR,86.2751875,77.847,16,76.516,15,21,True,Australia
DOO,91.78760869565218,77.394,23,76.315,13,21,True,Australia
GAS,96.30763636363636,77.493,22,75.98,10,11,False,Australia
HAD,95.24544999999999,77.019,20,76.175,11,21,True,Australia
HAM,87.93295,76.859,20,75.919,8,10,False,Australia
HUL,93.59729411764705,77.161,17,76.579,17,7,False,Australia
LAW,93.72152380952382,77.64,21,77.094,18,21,True,Australia
LEC,86.00652380952381,76.439,21,75.755,7,8,False,Australia
NOR,98.23668181818181,76.58,22,75.096,1,1,False,Australia
OCO,94.1385652173913,78.034,23,77.147,19,13,False,Australia
PIA,96.08922727272729,76.563,22,75.18,2,9,False,Australia
RUS,88.97785714285715,77.282,21,75.546,4,3,False,Australia
SAI,84.35588235294118,77.302,17,75.931,9,21,True,Australia
STR,87.26542105263158,77.279,19,76.369,14,6,False,Australia
TSU,86.60865,76.784,20,75.67,5,12,False,Australia
VER,91.12428571428572,77.063,14,75.481,3,2,False,Australia
ALB,107.40907142857144,92.687,14,91.503,10,7,False,China
ALO,101.12516666666666,92.766,12,91.688,14,21,True,China
ANT,104.28063157894736,92.874,19,91.103,8,6,False,China
BEA,108.491875,92.967,16,92.018,17,8,False,China
BOR,104.64928571428571,93.822,14,92.141,19,14,False,China
DOO,98.2888,93.923,10,92.092,18,13,False,China
GAS,102.461,93.123,12,91.992,16,21,True,China
HAD,104.70453846153845,93.385,13,91.079,7,11,False,China
HAM,101.362,92.195,10,90.927,5,21,True,China
HUL,106.03474999999999,92.507,12,91.632,13,15,False,China
LAW,112.7876875,93.631,16,92.174,20,12,False,China
LEC,102.1541,91.958,10,91.021,6,21,True,China
NOR,104.71873333333333,91.504,15,90.787,3,2,False,China
OCO,100.88300000000001,93.056,13,91.625,11,5,False,China
PIA,103.66666666666667,92.153,15,90.641,1,1,False,China
RUS,99.66486666666667,92.377,15,90.723,2,3,False,China
SAI,105.3278,93.145,15,91.628,12,10,False,China
STR,108.55881818181818,92.984,11,91.773,15,9,False,China
TSU,111.43257142857144,92.934,14,91.238,9,16,False,China
VER,105.2276,93.284,15,90.817,4,4,False,China
ALB,113.85775,89.023,4,87.615,9,9,False,Japan
ALO,89.978,89.978,1,87.897,13,11,False,Japan
ANT,95.4812,89.733,5,87.555,6,6,False,Japan
BEA,90.43400000000001,89.654,3,87.711,10,10,False,Japan
BOR,101.7612,89.335,5,88.622,17,19,False,Japan
DOO,119.95500000000001,91.659,2,88.877,19,15,False,Japan
GAS,108.179,88.757,5,87.822,11,13,False,Japan
HAD,100.9334,88.518,5,87.569,7,8,False,Japan
HAM,100.69233333333334,88.544,6,87.61,8,7,False,Japan
HUL,91.40725,89.062,4,88.57,16,16,False,Japan
LAW,102.104,88.559,5,87.906,14,17,False,Japan
LEC,107.41250000000001,88.586,6,87.299,4,4,False,Japan
NOR,93.27466666666668,88.163,3,86.995,2,2,False,Japan
OCO,102.15520000000001,89.507,5,88.696,18,18,False,Japan
PIA,99.95700000000001,88.114,5,87.027,3,3,False,Japan
RUS,91.27000000000001,88.567,5,87.318,5,5,False,Japan
SAI,89.10249999999999,88.832,2,87.836,12,14,False,Japan
STR,92.57275,90.845,4,89.271,20,20,False,Japan
TSU,93.32800000000002,90.625,3,87.967,15,12,False,Japan
VER,91.5235,88.67,2,86.983,1,1,False,Japan
ALB,103.2461,91.696,20,92.04,16,12,False,Bahrain
ALO,99.24900000000001,91.825,11,91.634,14,15,False,Bahrain
ANT,102.67641176470589,91.227,17,90.213,4,11,False,Bahrain
BEA,102.40577777777779,91.584,18,92.373,20,10,False,Bahrain
BOR,100.39978571428571,91.772,14,92.186,18,18,False,Bahrain
DOO,102.33029411764706,91.788,17,91.245,11,14,False,Bahrain
GAS,102.86986666666667,91.947,15,90.216,5,7,False,Bahrain
HAD,100.73564285714285,91.238,14,91.271,12,13,False,Bahrain
HAM,103.47041666666667,91.576,12,90.772,9,5,False,Bahrain
HUL,100.136,92.496,13,91.693,15,21,True,Bahrain
LAW,103.17870588235294,91.706,17,92.165,17,16,False,Bahrain
LEC,100.51866666666666,91.045,15,90.175,3,4,False,Bahrain
NOR,104.9819,90.659,20,90.267,6,3,False,Bahrain
OCO,103.5978125,91.87,16,91.594,13,8,False,Bahrain
PIA,104.42925,90.505,20,89.841,1,1,False,Bahrain
RUS,98.06578571428572,91.032,14,90.009,2,2,False,Bahrain
SAI,107.84111764705882,91.623,17,90.68,8,21,True,Bahrain
STR,100.38382352941177,92.382,17,92.283,19,17,False,Bahrain
TSU,103.658375,92.024,16,91.228,10,9,False,Bahrain
VER,104.22874999999999,91.33,20,90.423,7,6,False,Bahrain
ALB,106.84990909090908,89.22,11,88.109,11,9,False,Saudi Arabia
ALO,107.09514285714286,89.662,7,88.303,13,11,False,Saudi Arabia
ANT,98.0955,89.242,6,87.798,6,6,False,Saudi Arabia
BEA,97.032,89.754,6,88.536,15,13,False,Saudi Arabia
DOO,103.1854,89.912,10,88.739,17,17,False,Saudi Arabia
GAS,107.8829090909091,89.106,11,88.025,9,21,True,Saudi Arabia
HAD,99.83333333333333,89.306,6,88.418,14,10,False,Saudi Arabia
HAM,103.64781818181818,89.371,11,88.102,10,7,False,Saudi Arabia
HUL,99.07422222222222,89.193,9,88.782,18,15,False,Saudi Arabia
LAW,100.34666666666666,89.488,9,88.191,12,12,False,Saudi Arabia
LEC,112.4399,88.749,10,87.67,5,3,False,Saudi Arabia
NOR,101.7769,88.267,10,87.481,4,4,False,Saudi Arabia
OCO,97.11122222222222,90.019,9,89.092,19,14,False,Saudi Arabia
PIA,103.15372727272728,88.43,11,87.304,2,1,False,Saudi Arabia
RUS,109.53925000000001,88.973,8,87.407,3,5,False,Saudi Arabia
SAI,104.73225000000001,88.942,12,88.024,8,8,False,Saudi Arabia
STR,106.53283333333333,90.007,6,88.645,16,16,False,Saudi Arabia
TSU,97.82185714285716,88.963,7,87.99,7,21,True,Saudi Arabia
VER,99.80938461538462,88.547,13,87.294,1,2,False,Saudi Arabia
ALB,94.70058333333333,87.955,12,86.682,7,5,False,Miami
ALO,102.57499999999999,88.243,13,87.604,17,15,True,Miami
ANT,91.96755555555555,88.227,18,86.271,4,6,False,Miami
BEA,91.62283333333333,88.996,12,87.999,20,21,True,Miami
BOR,100.66263636363637,88.771,11,87.151,13,21,True,Miami
DOO,101.34293333333333,89.357,15,87.186,14,21,True,Miami
GAS,103.67566666666667,89.084,15,87.71,18,13,False,Miami
HAD,105.05494117647059,87.968,17,86.987,11,11,False,Miami
HAM,89.98899999999999,88.556,9,87.006,12,8,False,Miami
HUL,90.0275,88.573,4,87.473,16,14,True,Miami
LAW,98.0526923076923,88.374,13,87.363,15,21,True,Miami
LEC,99.80307142857143,87.484,14,86.754,8,7,False,Miami
NOR,102.67376923076924,88.391,13,86.269,2,2,False,Miami
OCO,96.7009,89.179,10,86.824,9,12,False,Miami
PIA,100.23521428571428,87.128,14,86.269,2,1,False,Miami
RUS,93.20715,88.058,20,86.385,5,3,False,Miami
SAI,94.63323076923076,87.678,13,86.569,6,9,False,Miami
STR,100.42118181818182,89.362,11,87.83,19,16,True,Miami
TSU,91.743,88.155,11,86.943,10,10,False,Miami
VER,90.893,87.558,11,86.204,1,4,False,Miami
ALB,94.7083,75.916,20,75.473,7,5,False,Imola
ALO,94.56354545454546,76.22,11,75.431,6,11,False,Imola
ANT,85.227,76.406,15,75.772,13,21,True,Imola
BEA,81.81607142857142,76.009,14,76.077,14,17,False,Imola
BOR,84.31486666666666,76.339,15,76.26,16,18,False,Imola
COL,82.29405882352941,76.044,17,76.256,15,16,False,Imola
GAS,81.55676470588234,75.569,17,75.505,9,13,False,Imola
HAD,79.31963636363636,75.792,11,75.51,10,9,False,Imola
HAM,88.2932,75.943,15,75.765,12,4,False,Imola
HUL,87.469125,76.419,16,76.518,18,12,False,Imola
LAW,81.6898888888889,76.255,9,76.379,17,14,False,Imola
LEC,87.06188235294117,75.768,17,75.604,11,6,False,Imola
NOR,89.42047058823529,75.318,17,74.962,4,2,False,Imola
OCO,81.0878,76.42,10,76.613,19,21,True,Imola
PIA,87.58583333333334,75.293,18,74.67,1,3,False,Imola
RUS,83.57013333333335,75.693,15,74.807,3,7,False,Imola
SAI,94.17447368421053,75.934,19,75.198,5,8,False,Imola
STR,89.79315384615384,76.341,13,75.497,8,15,False,Imola
VER,88.263125,75.735,16,74.704,2,1,False,Imola
ALB,84.15804166666668,71.918,24,70.732,6,9,False,Monaco
ALO,84.93895,71.89,20,70.924,8,21,True,Monaco
ANT,81.98125,72.002,20,71.88,15,18,False,Monaco
BEA,86.52112,72.259,25,71.979,17,12,False,Monaco
BOR,84.01747368421051,72.234,19,71.902,16,14,False,Monaco
COL,84.06009523809523,73.415,21,72.597,20,13,False,Monaco
GAS,85.1486923076923,72.404,26,71.994,18,21,True,Monaco
HAD,92.33569230769231,71.842,13,70.923,7,6,False,Monaco
HAM,83.20163157894736,71.46,19,70.382,4,5,False,Monaco
HUL,82.53513636363637,72.262,22,71.596,14,16,False,Monaco
LAW,83.21363636363637,71.823,22,71.129,10,8,False,Monaco
LEC,80.01742857142857,71.355,21,70.063,2,2,False,Monaco
NOR,82.31645454545455,71.677,22,69.954,1,1,False,Monaco
OCO,86.70360000000001,72.541,25,70.942,9,7,False,Monaco
PIA,86.87349999999999,71.393,18,70.129,3,3,False,Monaco
RUS,83.35804545454545,72.092,22,71.507,13,11,False,Monaco
SAI,85.31557142857143,72.151,21,71.362,11,10,False,Monaco
STR,84.64263157894737,72.512,19,72.563,19,15,False,Monaco
TSU,82.03757142857143,72.072,21,71.415,12,17,False,Monaco
VER,85.19510526315788,72.068,19,70.669,5,4,False,Monaco
ALB,86.89450000000001,73.839,22,72.641,11,21,True,Barcelona
ALO,92.34155,73.301,20,72.284,10,9,False,Barcelona
ANT,83.39042857142857,73.298,21,72.111,6,21,True,Barcelona
BEA,84.77541666666667,74.126,12,73.074,15,17,False,Barcelona
BOR,79.86971428571428,73.959,14,72.756,12,12,False,Barcelona
COL,81.49288235294117,74.303,17,73.334,19,15,False,Barcelona
GAS,82.4840625,73.385,16,72.199,8,8,False,Barcelona
HAD,81.65225,73.4,16,72.252,9,7,False,Barcelona
HAM,81.9353125,73.533,16,72.045,5,6,False,Barcelona
HUL,84.7641111111111,73.592,18,73.19,16,5,False,Barcelona
LAW,82.58933333333333,73.494,18,72.763,13,11,False,Barcelona
LEC,79.25687500000001,73.26,16,72.131,7,3,False,Barcelona
NOR,80.74368421052633,73.07,19,71.755,2,2,False,Barcelona
