Driver,fp2_avg_lap,fp2_best_lap,fp2_total_laps,FastestQualiLap,QualiPosition,grand_prix
ALB,89.29255555555557,77.021,18,76.223,20,Hungary
ALO,92.67693333333334,76.233,15,75.281,5,Hungary
ANT,81.17813333333334,76.52,15,75.693,12,Hungary
BEA,95.70641176470588,76.567,17,75.694,13,Hungary
BOR,92.625,76.946,19,75.586,9,Hungary
COL,84.01688235294118,77.159,17,75.875,15,Hungary
GAS,88.6564,77.043,15,75.966,17,Hungary
HAD,86.55484210526315,76.427,19,75.469,7,Hungary
HAM,86.351875,76.329,16,75.702,14,Hungary
HUL,86.56264705882353,76.68,17,76.081,19,Hungary
LAW,85.05831578947368,76.812,19,75.63,10,Hungary
LEC,84.8818125,76.023,16,75.372,6,Hungary
NOR,92.88552941176471,75.624,17,74.89,1,Hungary
OCO,92.06668421052632,76.704,19,76.023,18,Hungary
PIA,83.9001875,75.915,16,74.941,2,Hungary
RUS,83.91900000000001,76.417,13,75.201,4,Hungary
SAI,92.32278260869565,76.874,23,75.652,11,Hungary
STR,94.3514,76.119,20,75.129,3,Hungary
TSU,91.54682352941177,76.485,17,75.899,16,Hungary
VER,86.24723529411764,76.791,17,75.547,8,Hungary
