Driver,fp2_avg_lap,fp2_best_lap,fp2_total_laps,FastestQualiLap,QualiPosition,grand_prix
ALB,92.30916666666667,71.756,6,69.652,15,Netherlands
ALO,87.70108333333333,69.977,12,69.366,8,Netherlands
ANT,87.44312500000001,71.185,8,69.493,11,Netherlands
BEA,77.3865294117647,71.113,17,70.262,19,Netherlands
BOR,78.7769375,71.32,16,69.622,12,Netherlands
COL,85.37915384615386,70.957,13,70.104,16,Netherlands
GAS,83.918,72.122,17,69.637,14,Netherlands
HAM,87.31253846153847,70.738,13,69.261,6,Netherlands
HUL,79.2814375,71.08,16,70.195,17,Netherlands
LAW,85.17858333333334,71.339,12,69.383,9,Netherlands
LEC,81.91875,70.834,12,69.304,7,Netherlands
NOR,84.8922,69.89,15,68.674,2,Netherlands
OCO,83.71990909090908,71.361,11,70.197,18,Netherlands
PIA,80.827625,69.979,16,68.662,1,Netherlands
RUS,82.399,70.274,16,69.255,5,Netherlands
SAI,80.76906666666667,71.682,15,69.472,10,Netherlands
TSU,84.9403125,70.795,16,69.622,12,Netherlands
VER,81.96825,70.478,12,68.925,3,Netherlands
